, lat, lon, total_area, mean_width, mean_length, mean_depth, mean_elev, max_elev, min_elev
0,34.672,68.874, 1.2800, , , , 4110, 4250, 3975
1,34.676,68.855, 0.3100, , , , 4350, 4450, 4250
2,34.689,68.854, 0.6000, , , , 4100, 4200, 4000
3,34.707,68.857, 0.5600, , , , 4175, 4350, 4000
4,34.719,68.852, 1.0600, , , , 4050, 4350, 3750
5,34.806,68.868, 0.7500, , , , 3900, 4250, 3550
6,34.818,68.872, 0.8400, , , , 3925, 4150, 3700
7,34.802,68.886, 2.0300, , , , 4225, 4600, 3850
8,34.807,68.891, 0.5300, , , , 3925, 4050, 3800
9,35.175,68.757, 0.8800, , , , 4040, 4250, 3825
10,35.204,68.783, 0.7200, , , , 4325, 4450, 4200
11,35.218,68.805, 0.2500, , , , 4125, 4350, 3900
12,35.207,68.817, 0.2800, , , , 3975, 4150, 3800
13,35.202,68.808, 1.4400, , , , 4090, 4300, 3875
14,35.193,68.841, 0.4100, , , , 4000, 4150, 3850
15,35.243,68.841, 0.5900, , , , 4150, 4350, 3950
16,35.241,68.859, 0.4000, , , , 4000, 4175, 3825
17,35.268,68.924, 1.2200, , , , 3940, 4200, 3675
18,35.24,68.99, 0.3100, , , , 4140, 4250, 4025
19,35.388,69.258, 0.1900, , , , 4610, 4750, 4475
20,35.386,69.257, 0.3400, , , , 4390, 4600, 4175
21,35.367,69.267, 0.4100, , , , 4175, 4400, 3950
22,35.357,69.256, 0.4400, , , , 4090, 4250, 3925
23,35.35,69.287, 0.3400, , , , 4210, 4500, 3925
24,35.353,69.3, 0.6600, , , , 4375, 4500, 4250
25,35.356,69.3, 0.3800, , , , 4240, 4400, 4075
26,35.362,69.294, 0.7800, , , , 4375, 4500, 4250
27,35.383,69.267, 0.0900, , , , 4410, 4500, 4325
28,35.383,69.274, 0.2200, , , , 4275, 4350, 4200
29,35.408,69.271, 0.0800, , , , 4625, 4700, 4550
30,35.357,69.372, 0.4700, , , , 4240, 4500, 3975
31,35.342,69.357, 0.7500, , , , 4100, 4300, 3900
32,35.368,69.402, 1.0000, , , , 4190, 4500, 3875
33,35.374,69.401, 0.5600, , , , 4250, 4525, 3975
34,35.368,69.388, 0.4700, , , , 4390, 4500, 4275
35,35.367,69.375, 0.3800, , , , 4500, 4650, 4350
36,35.385,69.357, 0.9100, , , , 4400, 4575, 4225
37,35.421,69.433, 0.2300, , , , 4350, 4450, 4250
38,35.408,69.472, 0.4100, , , , 4225, 4350, 4100
39,35.408,69.484, 0.5400, , , , 4190, 4375, 4000
40,35.405,69.488, 0.3400, , , , 4050, 4175, 3925
41,35.403,69.492, 0.2500, , , , 4225, 4350, 4100
42,35.452,69.542, 2.0900, , , , 4360, 4850, 3875
43,35.438,69.552, 0.3400, , , , 4540, 4750, 4325
